Date Raw;Date Parsed;Breeding ETH;Breeding USD;Breeding AXS;Marketplace ETH;Marketplace USD
1632355200000;09/23/2021;240734.743;676260350.183;17707119;33765.5075413975;89998583.43422073
1632441600000;09/24/2021;243532.62199999997;685331268.7889999;17838005;34040.45599008723;90867481.96115568
1632528000000;09/25/2021;245211.42999999996;690253026.2969999;17909907;34277.529770925285;91562284.21148318
1632614400000;09/26/2021;246635.19899999996;694434281.7039999;17973723;34470.813199869204;92129657.59542069
1632700800000;09/27/2021;247857.36099999998;698170135.6679999;18032368;34654.964538651104;92692864.85574318
1632787200000;09/28/2021;248992.76099999997;701513779.6729999;18084806;34864.59578904385;93305812.15524317
1632873600000;09/29/2021;250760.79199999996;706464056.5659999;18156322;35068.8225639477;93877912.79254812
1632960000000;09/30/2021;251639.55999999997;708963773.3249998;18192486;35230.02659857274;94338346.06879562
1633046400000;10/01/2021;253426.72099999996;714356030.3389999;18264690;35445.036469313105;94987824.90999313
1633132800000;10/02/2021;255054.92599999998;719800111.8379998;18313717;35670.2657826068;95733345.46619812
1633219200000;10/03/2021;256425.35599999997;724471645.6719998;18356863;35868.444071382524;96407847.01675557
1633305600000;10/04/2021;257588.52899999998;728514229.4949998;18386169;36164.55761456266;97422436.73092802
1633392000000;10/05/2021;259026.05399999997;733408512.2029997;18422485;36455.755360374045;98409142.31733048
1633478400000;10/06/2021;260787.67499999996;739617080.1619997;18470228;36699.89449407161;99268552.62330063
1633564800000;10/07/2021;262897.24499999994;747081026.9569997;18529875;36956.48025297894;100185583.45279063
1633651200000;10/08/2021;264856.80899999995;754123616.2809997;18586375;37199.399462030255;101058597.6129157
1633737600000;10/09/2021;266529.86899999995;760081527.2349997;18633797;37446.4599311474;101938066.14446828
1633824000000;10/10/2021;268229.81599999993;766172462.2349997;18681987;37680.055662437655;102774194.41910326
1633910400000;10/11/2021;270346.88499999995;773417348.2299997;18744400;37906.50671705278;103549052.57409328
1633996800000;10/12/2021;272241.67499999993;780096421.0889996;18802025;38154.369768752484;104424797.05185825
1634083200000;10/13/2021;274341.22299999994;787430372.7799996;18862193;38369.324221579875;105176590.65940322
1634169600000;10/14/2021;275521.5079999999;791681508.3009996;18897098;38544.48744599425;105809637.43133071
1634256000000;10/15/2021;276749.47399999993;796339115.0149996;18931548;38679.45435851241;106321634.3767907
1634342400000;10/16/2021;278437.7749999999;802900435.6839997;18983426;38865.41674466433;107044217.59251319
1634428800000;10/17/2021;280223.8019999999;809768510.1999997;19038241;38988.17332423221;107515590.13297068
1634515200000;10/18/2021;282228.7389999999;817495984.4649997;19100247;39192.947296908715;108304834.84693563
1634601600000;10/19/2021;283926.0059999999;823869431.6339997;19152390;39398.52584060199;109076915.06061311
1634688000000;10/20/2021;285520.83899999986;830052047.4069997;19203008;39582.12001720644;109791235.64100312
1634774400000;10/21/2021;286914.95299999986;835858700.7379997;19248440;39753.975875131655;110507227.12317312
1634860800000;10/22/2021;288378.42099999986;841844168.3619996;19298011;39932.98055086844;111240466.08577558
1634947200000;10/23/2021;289899.83099999983;848055555.2399997;19345133;40109.76494874361;111943763.25140315
1635033600000;10/24/2021;291256.3529999998;853729632.4459996;19390034;40268.193270609416;112607551.55687314
1635120000000;10/25/2021;292487.27499999985;858760329.2149997;19430886;40437.816878628866;113301595.07395314
1635206400000;10/26/2021;293776.08499999985;864207831.8599997;19471947;40610.2100874242;114030854.23842311
1635292800000;10/27/2021;295031.10699999984;869396283.7399997;19512161;40773.738702570474;114709918.35246812
1635379200000;10/28/2021;296374.42199999985;874673811.1269996;19555302;40933.84604527831;115341396.29155064
1635465600000;10/29/2021;297301.4949999998;878644942.3639996;19586678;41093.03719276318;116025558.32271315
1635552000000;10/30/2021;298264.2579999998;882936908.7179996;19616461;41254.76844257454;116740627.7132806
1635638400000;10/31/2021;299342.2949999998;887544477.9919996;19648102;41421.319556677954;117464377.14693815
1635724800000;11/01/2021;300308.6489999998;891695485.2229996;19678128;41586.40849750822;118174395.07777573
1635811200000;11/02/2021;300619.6689999998;893041637.4729996;19687928;41658.50586635263;118486562.88475074
